timestamp,basket_mid,theoretical_value,discount,discount_pct
0,30255.0,30184.0,71.0,0.23522395971375562
100,30257.5,30186.0,71.5,0.23686477174849266
200,30258.5,30187.0,71.5,0.23685692516646237
300,30259.0,30186.0,73.0,0.24183396276419533
400,30258.0,30180.0,78.0,0.25844930417495027
500,30259.5,30181.0,78.5,0.26009741227924854
600,30259.0,30184.0,75.0,0.24847601378213624
700,30253.5,30183.0,70.5,0.2335751913328695
800,30253.5,30183.0,70.5,0.2335751913328695
900,30251.5,30183.0,68.5,0.22694894477023492
1000,30258.5,30186.0,72.5,0.2401775657589611
1100,30254.5,30184.0,70.5,0.23356745295520803
1200,30254.5,30181.0,73.5,0.24353069812133463
1300,30248.0,30181.0,67.0,0.22199396971604654
1400,30247.0,30181.0,66.0,0.21868062688446374
1500,30247.0,30179.0,68.0,0.2253222439444647
1600,30248.5,30181.0,67.5,0.2236506411318379
1700,30248.0,30183.0,65.0,0.21535301328562437
1800,30247.0,30183.0,64.0,0.2120398900043071
1900,30246.0,30182.0,64.0,0.21204691538002785
2000,30246.5,30182.0,64.5,0.2137035319064343
2100,30246.5,30180.0,66.5,0.22034459907223328
2200,30246.0,30181.0,65.0,0.21536728405288094
2300,30240.0,30179.0,61.0,0.2021273070678286
2400,30238.5,30180.0,58.5,0.19383697813121273
2500,30239.5,30181.0,58.5,0.19383055564759286
2600,30240.5,30184.0,56.5,0.18718526371587596
2700,30240.5,30184.0,56.5,0.18718526371587596
2800,30244.0,30183.0,61.0,0.20210052016035518
2900,30245.5,30184.0,61.5,0.2037503313013517
3000,30249.5,30186.0,63.5,0.21036241966474523
3100,30251.5,30188.0,63.5,0.2103484828408639
3200,30253.5,30186.0,67.5,0.22361359570661896
3300,30250.5,30185.0,65.5,0.2169951962895478
3400,30248.5,30185.0,63.5,0.21036938876925626
3500,30250.0,30188.0,62.0,0.20537962104147345
3600,30247.0,30186.0,61.0,0.2020804346385742
3700,30246.0,30186.0,60.0,0.19876764062810573
3800,30249.5,30186.0,63.5,0.21036241966474523
3900,30243.5,30182.0,61.5,0.2037638327479955
4000,30247.5,30182.0,65.5,0.21701676495924724
4100,30246.0,30180.0,66.0,0.21868787276341947
4200,30245.5,30180.0,65.5,0.2170311464546057
4300,30248.0,30180.0,68.0,0.22531477799867464
4400,30249.0,30179.0,70.0,0.23194936876636071
4500,30248.5,30180.0,68.5,0.22697150430748841
4600,30248.0,30180.0,68.0,0.22531477799867464
4700,30243.0,30172.0,71.0,0.23531751292589156
4800,30242.5,30172.0,70.5,0.23366034734190638
4900,30241.5,30172.0,69.5,0.23034601617393607
5000,30241.5,30172.0,69.5,0.23034601617393607
5100,30238.0,30172.0,66.0,0.21874585708604005
5200,30236.5,30171.0,65.5,0.2170958867786948
5300,30238.0,30169.0,69.0,0.2287115913686234
5400,30239.0,30168.0,71.0,0.23534871386900028
5500,30235.0,30168.0,67.0,0.2220896313975073
