timestamp,basket_mid,theoretical_value,discount,discount_pct
0,59289.0,59289.0,0.0,0.0
100,59287.0,59288.5,-1.5,-0.0025300016023343482
200,59293.5,59290.5,3.0,0.005059832519543603
300,59293.5,59293.0,0.5,0.0008432698632216282
400,59292.0,59301.5,-9.5,-0.016019830864312034
500,59305.0,59302.5,2.5,0.004215673875468994
600,59307.0,59307.0,0.0,0.0
700,59304.5,59306.5,-2.0,-0.0033723116353182197
800,59306.5,59308.0,-1.5,-0.0025291697578741484
900,59314.0,59315.5,-1.5,-0.0025288499633316754
1000,59324.5,59316.0,8.5,0.014330028997235148
1100,59322.5,59309.0,13.5,0.022762144025358713
1200,59322.5,59308.5,14.0,0.02360538540006913
1300,59319.5,59308.5,11.0,0.018547088528625744
1400,59328.5,59318.0,10.5,0.017701203681850367
1500,59326.5,59319.0,7.5,0.012643503767764122
1600,59329.0,59313.0,16.0,0.026975536560281895
1700,59321.0,59309.5,11.5,0.019389811075797302
1800,59322.5,59308.5,14.0,0.02360538540006913
1900,59321.0,59301.0,20.0,0.033726244076828386
2000,59319.0,59299.0,20.0,0.033727381574731444
2100,59308.5,59289.5,19.0,0.03204614645088928
2200,59305.0,59287.5,17.5,0.029517183217372973
2300,59299.0,59287.5,11.5,0.01939700611427367
2400,59301.5,59285.5,16.0,0.026988049354395256
2500,59300.5,59286.5,14.0,0.023614144872778794
2600,59298.5,59288.5,10.0,0.016866677348895655
2700,59302.5,59289.5,13.0,0.021926310729555823
2800,59305.5,59288.5,17.0,0.028673351493122615
2900,59305.5,59288.5,17.0,0.028673351493122615
3000,59308.5,59287.5,21.0,0.03542061986084757
3100,59304.5,59288.0,16.5,0.027830252327621107
3200,59306.5,59285.5,21.0,0.03542181477764377
3300,59306.0,59283.5,22.5,0.037953224758997026
3400,59296.5,59283.5,13.0,0.021928529860753835
3500,59312.0,59296.5,15.5,0.026139822755137317
3600,59316.5,59301.0,15.5,0.026137839159541997
3700,59313.5,59305.5,8.0,0.013489473994823415
3800,59308.5,59303.5,5.0,0.008431205578085611
3900,59310.0,59303.0,7.0,0.01180378732947743
4000,59306.0,59302.5,3.5,0.005901943425656591
4100,59309.5,59304.0,5.5,0.009274247942803184
4200,59305.5,59300.0,5.5,0.00927487352445194
4300,59298.5,59296.0,2.5,0.004216135995682677
4400,59293.5,59295.0,-1.5,-0.0025297242600556538
4500,59282.0,59288.5,-6.5,-0.010963340276782176
4600,59278.5,59286.5,-8.0,-0.013493797070159312
4700,59275.5,59286.0,-10.5,-0.017710758020443276
4800,59279.5,59290.5,-11.0,-0.018552719238326545
4900,59282.5,59285.0,-2.5,-0.004216918276123809
5000,59289.5,59292.0,-2.5,-0.0042164204277136885
5100,59286.5,59291.0,-4.5,-0.007589684775092341
5200,59280.0,59289.0,-9.0,-0.015179881596923543
5300,59279.5,59289.5,-10.0,-0.016866392868889094
5400,59273.5,59284.5,-11.0,-0.018554596901382316
5500,59278.5,59284.0,-5.5,-0.009277376695229742
5600,59271.5,59286.0,-14.5,-0.024457713456802616
5700,59280.5,59287.5,-7.0,-0.011806873286949187
5800,59277.0,59285.5,-8.5,-0.01433740121952248
5900,59275.5,59285.5,-10.0,-0.016867530846497034
6000,59280.5,59292.5,-12.0,-0.020238647383733186
6100,59277.0,59297.0,-20.0,-0.03372851914936675
6200,59277.0,59298.5,-21.5,-0.03625724090828605
6300,59288.5,59300.5,-12.0,-0.020235917066466554
6400,59293.0,59302.0,-9.0,-0.015176553910492059
6500,59294.5,59300.5,-6.0,-0.010117958533233277
6600,59297.5,59300.5,-3.0,-0.005058979266616638
6700,59300.5,59300.0,0.5,0.0008431703204047217
6800,59301.5,59298.5,3.0,0.005059149894179448
6900,59303.5,59298.5,5.0,0.00843191649029908
7000,59295.5,59296.0,-0.5,-0.0008432271991365354
7100,59292.5,59298.0,-5.5,-0.009275186346925698
7200,59295.0,59298.0,-3.0,-0.005059192552868562
7300,59300.0,59303.5,-3.5,-0.005901843904659927
7400,59301.0,59301.0,0.0,0.0
7500,59293.5,59296.5,-3.0,-0.005059320533252384
7600,59292.5,59290.0,2.5,0.004216562658121099
7700,59292.5,59287.5,5.0,0.00843348091924942
7800,59292.0,59286.5,5.5,0.009276985485734527
7900,59287.5,59289.5,-2.0,-0.0033732785737778186
8000,59279.0,59283.5,-4.5,-0.0075906449517994055
8100,59262.5,59269.5,-7.0,-0.01181045900505319
8200,59265.5,59265.5,0.0,0.0
8300,59263.5,59264.5,-1.0,-0.0016873507749158435
8400,59265.5,59263.5,2.0,0.003374758493845284
8500,59263.5,59256.5,7.0,0.011813050045142727
8600,59258.0,59255.5,2.5,0.004219017643931787
8700,59266.5,59257.5,9.0,0.015187950892292114
8800,59272.5,59262.0,10.5,0.01771793054571226
8900,59274.0,59262.0,12.0,0.02024906348081401
9000,59276.0,59261.5,14.5,0.024467824810374357
9100,59271.0,59261.5,9.5,0.01603064384127975
9200,59275.5,59268.0,7.5,0.01265438347843693
9300,59283.5,59273.0,10.5,0.01771464241728949
9400,59291.0,59276.0,15.0,0.025305351238275188
9500,59290.5,59277.5,13.0,0.021930749441187634
9600,59286.0,59279.0,7.0,0.011808566271360852
9700,59285.5,59279.5,6.0,0.010121542860516706
9800,59290.5,59275.5,15.0,0.02530556469367614
